timestamp,src_ip,dst_ip,direction,protocol,src_port,dst_port,length
"('2025-03-22T04:07:22.789001',)",192.168.0.64,172.217.25.170,-512,UDP,51408,443,71
"('2025-03-22T04:07:22.844357',)",172.217.25.170,192.168.0.64,-512,UDP,443,51408,67
"('2025-03-22T04:07:23.567918',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,66
"('2025-03-22T04:07:23.592129',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,66
"('2025-03-22T04:07:23.597137',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,54
"('2025-03-22T04:07:23.607649',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,571
"('2025-03-22T04:07:23.612656',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,54
"('2025-03-22T04:07:23.626169',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.630571',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.635360',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.640379',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1115
"('2025-03-22T04:07:23.643542',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,54
"('2025-03-22T04:07:23.647548',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,118
"('2025-03-22T04:07:23.658710',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,298
"('2025-03-22T04:07:23.662973',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,54
"('2025-03-22T04:07:23.664975',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,54
"('2025-03-22T04:07:23.667970',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,865
"('2025-03-22T04:07:23.670477',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.672487',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.675490',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.678999',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.681007',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,54
"('2025-03-22T04:07:23.685008',)",192.168.0.64,172.217.25.170,-512,UDP,51408,443,71
"('2025-03-22T04:07:23.689005',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.692043',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.696041',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,1510
"('2025-03-22T04:07:23.698929',)",185.199.108.153,192.168.0.64,-512,TCP,443,55067,282
"('2025-03-22T04:07:23.702716',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,54
"('2025-03-22T04:07:23.705721',)",192.168.0.64,185.199.108.153,-512,TCP,55067,443,54
